视频id,视频名称,总观看次数,认真观看次数,完播次数,认真观看率,完播率
V001,第一章-数学基础概念导入,1520,1280,1100,0.84,0.72
V002,第一章-四则运算专项训练,980,720,650,0.73,0.66
V003,第二章-方程与不等式基础,1350,1050,920,0.78,0.68
V004,第二章-一元二次方程解法,760,420,310,0.55,0.41
V005,第三章-函数概念与图像,2100,1890,1750,0.90,0.83
V006,第三章-一次函数应用题,1200,860,780,0.72,0.65
V007,第四章-几何基础入门,890,530,420,0.60,0.47
V008,第四章-三角形性质与证明,650,280,190,0.43,0.29
V009,第五章-数据统计基础,1680,1420,1310,0.85,0.78
V010,第五章-概率初步认识,920,610,540,0.66,0.59
V011,第六章-立体几何导入,430,180,120,0.42,0.28
V012,第六章-空间想象力训练,380,140,90,0.37,0.24
V013,第七章-数列基础概念,1100,880,810,0.80,0.74
V014,第七章-等差数列求和,840,670,600,0.80,0.71
V015,第八章-向量基础与运算,1450,1180,1050,0.81,0.72
